Artificial intelligence,,,,,,,,,,,,,,,,
Model yutao,,TP,FP,Precision,,Model fang,,TP,FP,Precision,,Model yong,,TP,FP,Precision
[  ] artificial intelligence,1,3,0,1,,[  ] semantic labeling,1,3,0,1,,[  ] feature extraction,1,3,0,1
[  ] information extraction,1,4,0,1,,[  ] word segmentation,1,4,0,1,,[  ] data mining,0,3,1,0.75
[  ] information retrieval,1,5,0,1,,[  ] shallow parsing,0,4,1,0.8,,[  ] hidden markov models,1,4,1,0.8
[  ] machine translation,1,6,0,1,,[  ] natural language generation,1,5,1,0.833333333,,[  ] information retrieval,1,5,1,0.833333333
[  ] biomedical research,0,6,1,0.857142857,,"[  ] discourse, dialogue",1,6,1,0.857142857,,[  ] speech recognition,1,6,1,0.857142857
[  ] computational linguistics,1,7,1,0.875,,[  ] speech recognition,1,7,1,0.875,,[  ] support vector machine,0,6,2,0.75
[  ] text mining,1,8,1,0.888888889,,[  ] knowledge representation,1,8,1,0.888888889,,[  ] machine learning,1,7,2,0.777777778
[  ] data mining,0,8,2,0.8,,[  ] question answering,1,9,1,0.9,,[  ] language translation,1,8,2,0.8
[  ] computer science,0,8,3,0.727272727,,[  ] information extraction,1,10,1,0.909090909,,[  ] search engine,1,9,2,0.818181818
[  ] question answering,1,9,3,0.75,,[  ] computational linguistics,1,11,1,0.916666667,,[  ] speech processing,1,10,2,0.833333333
[  ] knowledge base,1,10,3,0.769230769,,[  ] text mining,1,12,1,0.923076923,,[  ] pattern classification,0,10,3,0.769230769
[  ] knowledge management,0,10,4,0.714285714,,[  ] latent semantic analysis,1,13,1,0.928571429,,[  ] artificial intelligence,1,11,3,0.785714286
[  ] search engine,1,11,4,0.733333333,,[  ] corpus linguistics,1,14,1,0.933333333,,[  ] information extraction,1,12,3,0.8
[  ] computational biology,0,11,5,0.6875,,[  ] language technology,1,15,1,0.9375,,[  ] statistical analysis,0,12,4,0.75
[  ] text summarization,1,12,5,0.705882353,,[  ] sentiment analysis,1,16,1,0.941176471,,[  ] text mining,1,13,4,0.764705882
[  ] text analysis,1,13,5,0.722222222,,[  ] speech technology,1,17,1,0.944444444,,[  ] computational linguistics,1,14,4,0.777777778
[  ] part of speech,1,14,5,0.736842105,,[  ] interactive computing,0,17,2,0.894736842,,[  ] computer aided instruction,0,14,5,0.736842105
[  ] language model,1,15,5,0.75,,[  ] language modeling,2,17,2,0.894736842,,[  ] machine translation,1,15,5,0.75
[  ] semantic web,1,16,5,0.761904762,,[  ] wordnet,2,17,2,0.894736842,,[  ] semantic web,1,16,5,0.761904762
[  ] electronic health record,0,16,6,0.727272727,,[  ] constraint grammar,0,17,3,0.85,,[  ] speech synthesis,1,17,5,0.772727273
[  ] expert system,0,16,7,0.695652174,,[  ] semantic search,2,17,3,0.85,,[  ] sentiment analysis,1,18,5,0.782608696
[  ] word sense disambiguation,1,17,7,0.708333333,,[  ] statistical natural language processing,2,17,3,0.85,,[  ] handwriting recognition,0,18,6,0.75
[  ] lexical semantics,1,18,7,0.72,,[  ] word sense disambiguation,2,17,3,0.85,,[  ] social networking,0,18,7,0.72
[  ] information systems,0,18,8,0.692307692,,[  ] finite automaton,0,17,4,0.80952381,,[  ] handwritten character recognition,0,18,8,0.692307692
[  ] gold standard,0,18,9,0.666666667,,[  ] treebank,1,18,4,0.818181818,,[  ] human computer interaction,0,18,9,0.666666667
[  ] feature selection,0,18,10,0.642857143,,[  ] dialog system,1,19,4,0.826086957,,[  ] image segmentation,0,18,10,0.642857143
[  ] sentiment analysis,1,19,10,0.655172414,,[  ] chatterbots,0,19,5,0.791666667,,[  ] conditional random field,0,18,11,0.620689655
[  ] random walk,0,19,11,0.633333333,,[  ] lexicography,1,20,5,0.8,,[  ] speaker recognition,1,19,11,0.633333333
[  ] multi document summarization,1,20,11,0.64516129,,[  ] text corpus,1,21,5,0.807692308,,[  ] language model,1,20,11,0.64516129
[  ] support vector machine,0,20,12,0.625,,[  ] speech synthesis,1,22,5,0.814814815,,[  ] web site,0,20,12,0.625
[  ] unified medical language system,2,20,12,0.625,,[  ] computational mathematics,0,22,6,0.785714286,,[  ] knowledge based systems,1,21,12,0.636363636
[  ] rule based,0,20,13,0.606060606,,[  ] natural language user interface,0,22,7,0.75862069,,[  ] computer science,0,21,13,0.617647059
[  ] knowledge representation,1,21,13,0.617647059,,[  ] link analysis,0,22,8,0.733333333,,[  ] web pages,0,21,14,0.6
[  ] unsupervised learning,1,22,13,0.628571429,,[  ] data domain,0,22,9,0.709677419,,[  ] question answering,1,22,14,0.611111111
[  ] medical records,0,22,14,0.611111111,,[  ] job control language,0,22,10,0.6875,,[  ] computational modeling,0,22,15,0.594594595
[  ] probabilistic model,0,22,15,0.594594595,,[  ] citation index,0,22,11,0.666666667,,[  ] image classification,0,22,16,0.578947368
[  ] dependency parsing,0,22,16,0.578947368,,[  ] thesaurus,0,22,12,0.647058824,,[  ] algorithm design and analysis,0,22,17,0.564102564
[  ] bayes theorem,0,22,17,0.564102564,,[  ] speech coding,1,23,12,0.657142857,,[  ] pattern clustering,0,22,18,0.55
[  ] noun phrase,0,22,18,0.55,,[  ] computational number theory,0,23,13,0.638888889,,[  ] social network,0,22,19,0.536585366
[  ] statistical model,0,22,19,0.536585366,,[  ] legal citators,0,23,14,0.621621622,,[  ] artificial neural network,0,22,20,0.523809524
[  ] information technology,0,22,20,0.523809524,,[  ] primality test,0,23,15,0.605263158,,[  ] arabic language,0,22,21,0.511627907
[  ] natural languages,1,23,20,0.534883721,,[  ] pseudoprimes,0,23,16,0.58974359,,[  ] opinion mining,1,23,21,0.522727273
[  ] web pages,0,23,21,0.522727273,,[  ] speech processing,1,24,16,0.6,,[  ] document handling,0,23,22,0.511111111
[  ] supervised learning,0,23,22,0.511111111,,[  ] bioinformatics,0,24,17,0.585365854,,[  ] classification algorithms,0,23,23,0.5
[  ] user interface,0,23,23,0.5,,[  ] explicit semantic analysis,1,25,17,0.595238095,,[  ] gaussian processes,0,23,24,0.489361702
[  ] speech recognition,1,24,23,0.510638298,,[  ] coreference,0,25,18,0.581395349,,[  ] automatic speech recognition,1,24,24,0.5
[  ] clinical text,0,24,24,0.5,,[  ] integrative bioinformatics,0,25,19,0.568181818,,[  ] optical character recognition,0,24,25,0.489795918
[  ] error rate,0,24,25,0.489795918,,[  ] batch file,0,25,20,0.555555556,,[  ] neural nets,1,25,25,0.5
,,,top-10 mAP,0.942,,,,,top-10 mAP,0.915,,,,,top-10 mAP,0.857
,,,top-20 mAP,0.836,,,,,top-20 mAP,0.919,,,,,top-20 mAP,0.818
,,,top-50 mAP,0.698,,,,,top-50 mAP,0.799,,,,,top-50 mAP,0.690
